experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,bin_type,bin_id,support_rate,ci95
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,0,0.9318181818181818,0.019230208048218334
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,1,0.9787556904400607,0.0110096072025954
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,2,0.986764705882353,0.008589645035266262
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,0,0.9954545454545455,0.005131962569980835
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,1,0.9271623672230652,0.019841256579483227
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,2,0.975,0.011734752309474027
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,0,0.9772036474164134,0.01140429248049727
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,1,0.993920972644377,0.005939311464123354
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,2,0.9852507374631269,0.009074020619214288
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,eta,0,0.9832826747720365,0.00979638204945445
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,eta,1,0.9726443768996961,0.012463599079865984
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,eta,2,1.0,0.0
