experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,spearman_de_sigma
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.030672393168098173
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.11756229839057417
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.2077003674250911
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.11757469139367242
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.2077003674250911
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.11756229839057417
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.030672393168098173
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.11757469139367242
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.49450394012598325
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0.4599835254958797
